age,service_tenure_years,distance_from_home_station_km,num_dependents,rank_encoded,annual_fitness_grade_encoded,fitness_trend_score,deployment_duration_days,posting_transfer_count_last_2yrs,commute_transit_days,unit_manning_shortfall_pct,promotion_stagnation_years,duty_hours_daily,rest_hours_daily,overtime_hours_monthly,night_shift_frequency_monthly,consecutive_night_duty_days,overtime_flag,daily_workload_score,training_hours_last_year,leave_backlog_days,days_since_last_leave,leave_days_last_90d,absenteeism_hours_last_year,family_separation_months,conduct_flag,body_mass_index,stagnation_per_tenure_ratio,transit_separation_burden,manning_training_ratio,transfer_tenure_friction,manning_absenteeism_load,training_vs_unit_median,absenteeism_vs_rank_median,theatre_Border Outpost (LoC/IB),theatre_J&K (CI/Ops),theatre_LWE / Bastar (Anti-Naxal),theatre_North-East (Counter-Insurgency),theatre_Peace / Training Center,theatre_Static Security / VIP,unit_CoBRA Strike Unit,unit_General Duty (GD),unit_Medical & Logistics,unit_Rapid Action Force (RAF),unit_Signal & IT Wing,unit_VIP Security Wing,welfare_risk_level
37,9.7,40.0,0,1,0,2,287,2,2,14.2,4.0,10,5,0,9,8,0,6.5,0,23,267,2,8,17,0,27.1,0.374,5.78,2.84,0.187,1.14,-26.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,Low
30,2.0,75.8,0,0,3,-2,684,1,2,22.9,2.0,10,8,20,7,12,1,11.7,57,37,65,3,1,12,0,21.6,0.667,5.13,0.369,0.333,0.23,28.0,-7.0,0,1,0,0,0,0,0,0,0,0,0,1,High
30,10.1,90.3,4,1,3,0,298,0,4,17.1,3.9,10,8,0,10,6,0,8.5,0,40,64,4,1,9,0,22.6,0.351,9.21,3.42,0.0,0.17,-26.0,-7.0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
43,5.0,75.7,0,0,0,0,480,1,2,27.7,3.9,10,6,30,16,11,1,10.7,54,16,173,3,113,15,0,23.6,0.65,5.55,0.469,0.167,31.3,28.0,105.0,0,0,1,0,0,0,0,1,0,0,0,0,High
48,6.1,55.8,1,0,0,0,588,0,4,14.0,1.9,10,7,30,12,7,1,13.1,41,35,229,5,4,16,0,35.1,0.268,11.33,0.304,0.0,0.56,14.0,-4.0,0,1,0,0,0,0,1,0,0,0,0,0,High
29,6.7,44.0,0,1,0,-1,599,2,1,20.1,4.0,10,7,53,6,14,1,6.0,11,54,64,2,8,8,0,23.9,0.519,2.2,1.256,0.26,1.61,-15.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,High
33,2.9,72.1,2,0,1,0,222,1,5,26.8,2.9,8,6,0,12,9,0,8.8,43,15,129,3,3,24,1,28.3,0.744,16.09,0.558,0.256,0.8,16.0,-5.0,0,0,1,0,0,0,1,0,0,0,0,0,Medium
35,11.0,100.0,2,2,1,0,281,1,3,26.8,5.0,10,8,0,7,6,0,7.8,31,11,144,9,8,14,0,21.5,0.417,8.12,0.744,0.083,2.14,5.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
33,2.9,47.4,3,0,0,-1,179,2,3,21.8,2.9,8,6,0,6,6,0,6.1,69,17,81,2,3,11,0,24.3,0.744,7.45,0.295,0.513,0.65,40.0,-5.0,0,0,0,1,0,0,0,0,1,0,0,0,Low
35,2.9,14.0,1,2,0,0,591,1,3,22.4,2.9,8,7,25,14,11,1,11.5,34,45,144,0,4,16,0,21.8,0.744,8.5,0.574,0.256,0.9,8.0,-4.0,0,0,1,0,0,0,0,1,0,0,0,0,High
