eda_mean_microsiemens,eda_std,hrv_rmssd_ms,hrv_lf_hf_ratio,skin_temp_slope,acc_magnitude_g,physiological_state
1.889,0.093,58.8,1.28,0.0011,1.05,Baseline
7.251,1.338,31.4,1.37,0.0343,2.62,Physical_Exertion
4.826,0.545,21.5,3.43,-0.0202,1.12,Stress
4.534,0.806,33.6,2.49,-0.0195,1.0,Stress
1.583,0.175,57.2,0.96,0.0025,0.96,Baseline
1.707,0.165,69.5,1.16,0.0021,0.93,Baseline
1.934,0.271,55.8,1.42,-0.001,1.07,Baseline
9.448,1.091,28.4,2.93,0.0458,2.19,Physical_Exertion
3.996,0.744,19.9,2.25,-0.025,0.97,Stress
4.458,0.847,37.3,2.2,-0.0151,1.03,Stress
1.775,0.254,43.8,1.21,0.0003,1.02,Baseline
6.434,1.937,26.9,1.93,0.0238,2.17,Physical_Exertion
5.044,1.557,43.4,1.91,0.0217,2.78,Physical_Exertion
1.524,0.251,57.0,0.65,0.0031,1.09,Baseline
1.494,0.169,57.9,1.2,0.0013,1.1,Baseline
1.712,0.136,41.2,0.88,-0.0001,1.09,Baseline
1.541,0.218,54.8,1.46,0.0051,0.97,Baseline
3.913,1.009,32.1,3.91,-0.0171,1.01,Stress
2.095,0.289,63.2,1.25,0.0021,1.06,Baseline
2.491,0.252,53.3,1.14,0.0024,0.96,Baseline
4.942,0.721,28.2,3.57,-0.019,1.05,Stress
1.12,0.26,61.5,1.75,-0.0006,1.01,Baseline
1.925,0.326,54.0,1.18,0.0012,1.01,Baseline
1.577,0.216,65.7,0.79,0.0003,0.96,Baseline
5.934,0.495,24.6,3.03,-0.0122,1.04,Stress
3.834,1.176,19.3,1.48,-0.0178,1.0,Stress
1.289,0.257,57.4,0.93,-0.0026,1.04,Baseline
5.28,0.78,39.1,2.16,-0.0276,0.98,Stress
4.445,0.849,26.6,3.01,-0.0263,1.19,Stress
1.759,0.289,58.4,1.24,0.0011,1.02,Baseline
5.271,1.066,29.2,3.23,-0.0204,1.19,Stress
1.462,0.344,54.6,0.67,0.0003,0.97,Baseline
2.22,0.148,50.5,0.53,-0.0009,0.88,Baseline
3.624,1.428,38.3,2.41,0.0203,2.47,Physical_Exertion
5.995,0.852,44.0,2.64,0.0278,2.52,Physical_Exertion
6.313,0.587,30.0,1.86,0.02,2.33,Physical_Exertion
2.699,0.251,49.3,1.27,0.0028,1.05,Baseline
1.83,0.148,62.0,1.22,0.0018,1.03,Baseline
5.759,0.693,35.9,2.92,-0.0096,0.98,Stress
2.668,0.216,48.5,0.95,-0.0006,1.02,Baseline
2.061,0.154,54.8,1.74,0.0035,1.02,Baseline
4.546,0.824,31.7,2.19,-0.0213,0.88,Stress
2.0,0.252,50.2,1.57,-0.0025,0.93,Baseline
6.337,1.514,45.5,1.97,0.0408,2.48,Physical_Exertion
1.714,0.271,61.5,0.63,0.003,1.07,Baseline
3.749,0.879,31.0,2.96,-0.0228,0.98,Stress
1.787,0.294,60.4,0.99,0.0015,0.86,Baseline
5.879,0.452,25.8,2.13,-0.0265,1.17,Stress
3.939,0.869,27.7,3.09,-0.0196,0.92,Stress
2.298,0.16,39.4,0.97,0.003,1.04,Baseline
5.477,1.095,29.4,3.24,0.0338,2.76,Physical_Exertion
5.736,0.848,26.4,2.68,-0.0204,1.05,Stress
7.091,1.216,37.9,2.16,0.0308,1.3,Physical_Exertion
7.374,1.304,40.0,0.75,0.0509,2.42,Physical_Exertion
5.83,0.592,31.7,2.17,-0.0231,1.24,Stress
5.714,1.265,39.0,2.45,0.0315,2.72,Physical_Exertion
3.002,0.195,57.0,1.42,0.0022,1.06,Baseline
2.119,0.109,71.3,0.76,0.0006,0.96,Baseline
1.768,0.226,58.2,1.23,0.0032,1.02,Baseline
1.678,0.277,66.9,0.73,0.0012,1.04,Baseline
1.651,0.31,53.5,1.14,-0.0003,1.0,Baseline
1.252,0.085,70.9,0.85,-0.002,0.89,Baseline
5.042,0.803,45.1,2.7,0.0231,3.85,Physical_Exertion
2.291,0.174,30.0,1.79,-0.0028,0.92,Baseline
2.311,0.395,68.8,1.27,0.0012,1.04,Baseline
5.411,0.856,28.6,2.76,-0.0238,1.02,Stress
0.954,0.192,45.1,0.77,0.0004,1.07,Baseline
7.377,0.729,24.1,2.67,0.0202,2.37,Physical_Exertion
2.075,0.123,56.1,0.7,-0.0012,1.02,Baseline
3.611,1.332,31.8,2.48,0.0322,3.32,Physical_Exertion
4.65,0.714,28.7,3.13,-0.0198,1.05,Stress
1.449,0.147,41.0,1.62,-0.0025,0.97,Baseline
1.441,0.272,52.1,1.47,-0.0013,1.01,Baseline
4.747,1.844,22.5,2.35,0.0363,2.75,Physical_Exertion
4.278,0.774,28.3,2.71,-0.0152,1.27,Stress
3.831,0.526,27.5,4.35,-0.024,1.21,Stress
6.513,0.689,31.4,3.78,-0.0219,1.03,Stress
1.509,0.119,48.5,0.73,0.0001,0.96,Baseline
1.917,0.076,58.3,1.35,-0.004,1.02,Baseline
2.414,0.103,71.7,1.23,-0.0014,1.0,Baseline
6.837,1.223,36.3,1.74,0.0317,1.65,Physical_Exertion
4.367,0.619,23.6,3.54,-0.0145,1.11,Stress
1.254,0.175,67.1,1.14,0.0046,1.02,Baseline
1.896,0.175,56.3,1.05,0.0014,1.05,Baseline
1.407,0.094,36.6,1.25,-0.0022,0.89,Baseline
1.994,0.399,54.9,1.35,0.0002,1.0,Baseline
5.603,0.742,29.6,2.99,-0.0233,1.15,Stress
4.29,0.649,31.2,2.26,-0.0199,1.05,Stress
7.629,1.342,31.8,2.61,0.0439,2.83,Physical_Exertion
4.512,0.538,21.6,2.62,-0.023,1.03,Stress
1.828,0.242,54.3,1.25,0.0001,0.9,Baseline
3.373,0.771,20.7,3.16,-0.0123,1.17,Stress
4.244,1.098,28.9,2.6,-0.0231,1.02,Stress
4.034,0.834,29.0,2.8,-0.0178,1.17,Stress
5.639,0.503,12.7,3.36,-0.0268,1.03,Stress
3.096,0.44,31.2,3.26,-0.0229,0.79,Stress
3.845,0.878,19.1,2.91,-0.0201,1.11,Stress
1.86,0.122,67.0,1.05,-0.0001,0.95,Baseline
1.578,0.129,53.3,1.61,-0.0027,0.92,Baseline
2.536,0.183,48.3,1.41,-0.0012,1.09,Baseline
2.139,0.161,76.6,0.92,0.0015,1.01,Baseline
6.062,1.112,28.2,2.35,-0.0177,0.98,Stress
2.807,0.211,51.3,1.16,-0.0027,0.95,Baseline
5.94,0.669,21.7,3.12,-0.0141,1.12,Stress
7.494,0.973,20.6,2.95,0.0268,2.35,Physical_Exertion
2.464,0.244,59.6,1.75,-0.0013,1.05,Baseline
1.829,0.221,70.3,1.25,0.0011,1.05,Baseline
4.062,0.632,21.7,1.62,-0.0097,0.94,Stress
1.689,0.178,58.1,1.34,0.0017,0.97,Baseline
1.716,0.223,52.5,1.58,0.001,1.04,Baseline
2.131,0.294,56.8,0.71,0.0008,0.97,Baseline
1.536,0.247,67.4,1.11,0.0006,1.09,Baseline
6.361,1.981,36.5,1.32,0.0375,2.73,Physical_Exertion
7.935,1.402,30.9,1.59,0.0279,1.99,Physical_Exertion
3.803,0.918,38.0,3.04,-0.026,1.09,Stress
7.795,1.017,30.9,2.21,0.0222,2.89,Physical_Exertion
5.819,1.326,24.9,1.98,0.0372,2.28,Physical_Exertion
2.663,0.168,57.2,1.38,-0.0028,0.91,Baseline
3.712,1.579,27.6,3.48,0.0244,2.61,Physical_Exertion
6.351,1.201,40.4,3.53,-0.0149,1.11,Stress
7.168,1.035,25.5,2.2,0.0283,2.23,Physical_Exertion
7.045,1.487,32.7,2.94,0.0186,2.38,Physical_Exertion
1.442,0.051,54.2,1.06,0.003,1.03,Baseline
1.288,0.348,67.2,1.27,-0.0005,0.95,Baseline
1.614,0.287,73.8,1.56,-0.001,0.94,Baseline
1.87,0.059,58.2,1.06,-0.0009,0.92,Baseline
6.77,1.04,22.6,0.76,0.0297,3.56,Physical_Exertion
8.492,1.063,27.2,2.43,0.02,2.68,Physical_Exertion
2.183,0.298,54.0,1.04,-0.0018,0.96,Baseline
4.228,0.873,33.5,2.32,-0.0125,1.02,Stress
1.789,0.14,30.8,1.37,0.0015,0.99,Baseline
1.833,0.241,39.4,0.94,0.0016,0.94,Baseline
1.947,0.091,59.7,1.09,-0.0032,1.06,Baseline
1.433,0.135,57.0,1.44,-0.002,1.0,Baseline
6.643,1.408,33.4,2.02,0.0217,2.55,Physical_Exertion
1.264,0.01,59.4,1.37,-0.0047,0.95,Baseline
5.243,1.211,28.1,2.36,-0.0209,1.19,Stress
3.725,0.64,25.1,2.23,-0.0194,1.21,Stress
1.962,0.18,52.1,0.63,0.0018,1.0,Baseline
5.729,2.158,34.4,1.82,0.0257,3.19,Physical_Exertion
6.17,0.769,39.4,1.87,0.0487,3.15,Physical_Exertion
1.576,0.302,55.7,1.36,0.001,0.96,Baseline
3.728,1.006,26.0,2.56,-0.0248,1.09,Stress
2.831,0.115,55.2,1.52,-0.0002,1.02,Baseline
1.269,0.234,53.1,1.4,0.0024,1.13,Baseline
2.09,0.226,56.9,0.99,0.0007,0.99,Baseline
4.702,1.064,22.0,3.48,-0.0134,1.04,Stress
1.954,0.678,35.8,2.79,-0.025,1.0,Stress
2.22,0.244,52.6,0.99,-0.0008,0.95,Baseline
2.608,0.174,67.2,1.56,0.002,0.98,Baseline
6.606,1.193,24.8,2.36,0.0182,3.21,Physical_Exertion
1.568,0.216,57.8,1.02,0.0012,0.98,Baseline
2.236,0.092,56.3,1.68,-0.002,0.97,Baseline
5.117,0.836,30.1,3.09,-0.0168,1.16,Stress
6.615,1.128,37.4,3.15,0.0287,1.92,Physical_Exertion
2.354,0.19,33.3,1.35,-0.0011,1.0,Baseline
4.898,0.838,32.3,2.54,-0.0174,1.02,Stress
5.387,0.923,22.4,3.45,-0.0227,1.13,Stress
1.984,0.347,52.8,1.0,-0.0,0.98,Baseline
5.46,0.477,21.7,2.16,-0.0152,1.22,Stress
1.748,0.186,55.7,1.45,-0.0019,1.01,Baseline
5.67,0.9,29.1,3.4,-0.0335,1.12,Stress
3.715,0.434,31.1,3.62,-0.0207,1.15,Stress
6.435,1.063,37.8,3.25,-0.0196,0.89,Stress
1.677,0.133,76.7,1.05,0.0002,1.03,Baseline
6.065,1.709,27.0,2.3,0.0226,1.71,Physical_Exertion
