age,service_tenure_years,distance_from_home_station_km,num_dependents,rank,rank_encoded,unit_type,unit_type_encoded,deployment_theatre,deployment_theatre_encoded,deployment_duration_days,posting_transfer_count_last_2yrs,unit_manning_shortfall_pct,promotion_stagnation_years,commute_transit_days,duty_hours_daily,rest_hours_daily,overtime_hours_monthly,night_shift_frequency_monthly,consecutive_night_duty_days,overtime_flag,daily_workload_score,training_hours_last_year,leave_backlog_days,days_since_last_leave,leave_days_last_90d,absenteeism_hours_last_year,family_separation_months,conduct_flag,satisfaction_score,work_life_balance_score,stress_score,sleep_quality_score,fatigue_score,social_support_score,emotional_wellbeing_score,body_mass_index,annual_fitness_grade,annual_fitness_grade_encoded,fitness_trend_score,stagnation_per_tenure_ratio,transit_separation_burden,manning_training_ratio,transfer_tenure_friction,manning_absenteeism_load,training_vs_unit_median,absenteeism_vs_rank_median,welfare_risk_level_encoded,welfare_risk_level
37,9.7,40.0,0,Head Constable,1,General Duty (GD),0,J&K (CI/Ops),4,324,2,13.4,1.8,4,10,5,0,9,7,0,6.5,0,20,248,4,8,17,0,2.2,3.2,5.5,3.1,5.2,2.9,3.2,27.1,SHAPE-1,0,2,0.168,11.56,2.68,0.187,1.07,-27.0,0.0,1,Medium
30,2.0,75.8,0,Constable,0,Rapid Action Force (RAF),1,Border Outpost (LoC/IB),2,672,1,21.5,2.0,5,10,8,20,5,6,1,11.7,57,33,57,6,1,12,0,2.9,1.0,2.2,8.1,6.8,2.8,2.7,21.6,SHAPE-3,2,-2,0.667,12.82,0.347,0.333,0.22,29.0,-7.0,1,Medium
30,10.1,90.3,4,Head Constable,1,General Duty (GD),0,J&K (CI/Ops),4,310,0,16.0,4.0,4,10,8,0,12,12,0,8.5,0,38,57,4,1,7,0,4.0,3.0,6.7,3.7,4.7,4.1,3.5,22.6,SHAPE-4,3,0,0.36,8.32,3.2,0.0,0.16,-27.0,-7.0,1,Medium
43,5.0,75.7,0,Constable,0,General Duty (GD),0,Peace / Training Center,0,442,1,25.9,5.0,2,10,7,30,14,5,1,10.7,54,9,157,4,113,10,0,2.0,2.0,2.4,5.9,5.6,3.1,2.0,23.6,SHAPE-1,0,0,0.833,4.8,0.439,0.167,29.27,27.0,105.0,0,Low
48,6.1,55.8,1,Constable,0,Signal & IT Wing,3,Border Outpost (LoC/IB),2,576,0,13.4,3.9,1,10,8,30,10,4,1,13.1,41,28,211,8,4,13,0,2.2,3.1,7.0,5.7,7.8,3.9,3.5,35.1,SHAPE-1,0,0,0.549,2.64,0.291,0.0,0.54,13.0,-4.0,1,Medium
29,6.7,44.0,0,Head Constable,1,General Duty (GD),0,Border Outpost (LoC/IB),2,587,2,18.8,3.9,5,10,7,53,6,13,1,6.0,11,48,56,4,8,7,0,1.9,3.2,6.6,8.0,2.2,3.9,2.8,23.9,SHAPE-1,0,-1,0.506,10.4,1.175,0.26,1.5,-16.0,0.0,1,Medium
33,2.9,72.1,2,Constable,0,Medical & Logistics,4,Static Security / VIP,1,192,1,25.4,1.9,1,8,7,0,11,5,0,8.8,43,11,117,4,3,21,1,2.4,4.0,4.1,7.9,4.8,2.2,2.8,28.3,SHAPE-2,1,0,0.487,3.09,0.529,0.256,0.76,15.0,-5.0,0,Low
35,11.0,100.0,2,ASI,2,General Duty (GD),0,Border Outpost (LoC/IB),2,269,1,25.4,4.0,5,10,8,0,6,3,0,7.8,31,24,137,3,8,11,0,1.3,2.9,2.2,5.4,3.3,3.9,3.5,21.5,SHAPE-2,1,0,0.333,12.42,0.706,0.083,2.03,4.0,0.0,0,Low
33,2.9,47.4,3,Constable,0,VIP Security Wing,2,LWE / Bastar (Anti-Naxal),5,189,2,20.5,2.9,2,8,6,0,6,5,0,6.1,69,34,80,5,3,10,0,3.4,1.0,6.6,7.7,5.5,3.9,2.4,24.3,SHAPE-1,0,-1,0.744,4.8,0.277,0.513,0.62,40.0,-5.0,1,Medium
35,2.9,14.0,1,ASI,2,General Duty (GD),0,Border Outpost (LoC/IB),2,576,1,20.8,2.9,2,8,7,25,12,7,1,11.5,34,39,130,1,4,14,0,3.2,2.9,7.6,4.9,2.8,2.3,3.0,21.8,SHAPE-1,0,0,0.744,5.42,0.533,0.256,0.83,7.0,-4.0,1,Medium
